ft/mi,CA,CEN,MID_AT,NE,NW,N_CEN,SE,SW,TX,direction
0,0.0060963734958958534,0.0032607643049389445,0.0050727742984983375,0.0028264807456971526,0.0011987044563026598,0.004880382536487654,0.0026560128837097097,0.001904187292982939,0.003016675228727817,AB
5,0.3144432651446198,0.2642220844429415,0.28571156256351266,0.2206570638068923,0.20478385265611576,0.2403639509423511,0.061547836688525,0.07114579886389007,0.12090400005701837,AB
10,0.10968266214793705,0.43356334561343973,0.36325844346898295,0.5184106354763991,0.1771797707871436,0.6192608852477501,0.1324859214341452,0.25322023117333425,0.2719048789441509,AB
15,0.27149874822633197,0.17886993405022994,0.10861670434185129,0.19763192430052637,0.3979605589400351,0.12239628193739233,0.38459684377458503,0.3436487943847165,0.30657723482172444,AB
20,0.06271735480223713,0.07083668921847312,0.14672143703023766,0.04441040547437907,0.1141595403374335,0.007675981078265327,0.203701661386072,0.1492845149075299,0.26705743621781175,AB
25,0.0407332553009793,0.045654757566789446,0.05797894062862106,0.007044980604764364,0.02322440542958735,0.0033458931588145257,0.14800521514893686,0.02354793460302653,0.025031050447256144,AB
30,0.04477768210391136,0.001750900146520472,0.01902720862092327,0.005668489465736028,0.05468970102571878,0.0013078639057489895,0.05785054560061347,0.025863415055451523,0.0027509429853949004,AB
35,0.009494162265394991,0.0007056173724374942,0.005190655380104215,0.0010513184635637153,0.013710539393916437,0.00011381012935074913,0.006356241783547856,0.02386717128725541,0.0011075280078133968,AB
40,0.012365085261863194,0.0005331640218276338,0.005648121597656027,0.001908788350841077,0.00011235703564542035,0.0002945191821670146,0.0007728522400641624,0.07259086212666951,0.0006556904738437735,AB
45,0.0004123109587560073,0.00010529508854881165,0.0011134118124073971,3.727129459902392e-05,0.011352955282098773,4.277478240935495e-05,0.0016139629171810427,0.006425037667614487,0.0004491940408280458,AB
50,0.08895180151310775,0.00020344750715818138,0.00023598761310947292,0.00012820816934202566,0.0014779913136407292,6.666833524943487e-05,8.395062340618324e-05,0.021880693681910725,1.0210556998612659e-05,AB
55,0.0038019573981049434,0.00017541178323630152,0.0006692478375896165,3.762485332712433e-06,5.6531618698848486e-05,2.1265389059571795e-05,5.4026591238679435e-05,0.0006429107742060618,0.0001300814603319179,AB
60,0.008238632558292125,3.011888324168704e-05,7.234248645012373e-06,0.0,4.600119124012973e-05,0.00011779939727582151,4.668247539724172e-05,0.0031883401152703102,8.943079722183982e-05,AB
65,0.0021443574706592533,2.3111549163269088e-05,0.00016175898063883675,0.0,4.364694521091609e-05,5.631247317894848e-05,1.7311624414214078e-05,0.0026390962307790084,0.0,AB
140,0.02464235135190929,6.535845105348289e-05,0.0005865115772221541,0.00022067136192704321,3.443587212000947e-06,5.5611504499086624e-05,0.00021093482816328946,0.000151011835362774,0.000315645960878065,AB
0,0.007396131698787121,0.0022343440229196554,0.00648361374507709,0.0020867790450614676,0.001772719546634835,0.0043925218221031416,0.002982965879932261,0.0010948365582616412,0.0021160441789832723,BA
5,0.35734410360111535,0.13713618727022675,0.29657318550128203,0.05563603594767306,0.09417937528328904,0.22469011645103115,0.045355834552308634,0.36829712590743485,0.07473694058849749,BA
10,0.08931280238305742,0.3571447306218853,0.35953049008742877,0.6559355700702447,0.189996603290389,0.6087604449752051,0.17227202823526974,0.2252390766827343,0.12024596662145463,BA
15,0.10797531821829247,0.32078629555345095,0.06379480852744238,0.16803182343338943,0.4193337792304365,0.1332664203602744,0.4094295248329017,0.1742110953416092,0.12119772973485654,BA
20,0.10172570974091209,0.151549667633413,0.07330494311696065,0.09314055787385213,0.0942749178430079,0.02408907865418885,0.21576437287693187,0.062082950616480996,0.3667358711091658,BA
25,0.20897690552787723,0.026720744848337755,0.17237270650745476,0.010177226818619888,0.09101970727117567,0.002608633854199684,0.08387173511599305,0.09120607234207483,0.20555013674447037,BA
30,0.02795375601797479,0.0019052573790732852,0.010352713219623558,0.0122698632271547,0.01517138746496994,0.0006194837389634935,0.05150925468852835,0.05395807683399685,0.1027894397465128,BA
35,0.018101091136809473,0.0008942441575620072,0.0026104166074367836,0.002398196564702802,0.004022954688628598,0.0003993855862959117,0.006277123658458641,0.008101107320683176,0.0016465707390262083,BA
40,0.0018873183856913597,0.0009223640922954716,0.0017729155241231977,0.00012896573558809365,0.0,0.00053187934901852,0.0107230569977848,0.001294791876413681,0.00033733605761050077,BA
45,0.0009976670981440012,0.000373594184476205,0.0007944190877911832,8.740123547822759e-05,0.06079100434041793,0.0001415656065707729,0.001156223349814287,0.00454786404819632,0.004168386197694677,BA
50,0.001803898849653051,1.9504130650303058e-05,0.011435199598753339,2.293811490061048e-05,0.027861566557394798,2.0184560317526323e-05,0.00015120863838383574,0.008210031160339578,0.00016721406112785696,BA
55,0.06494693026299975,8.654713717679976e-05,0.00011464363185149401,8.464193333493938e-05,6.604294576661677e-05,9.151823277258091e-05,0.00047009673927986604,0.001227585117979872,0.00016604842430057955,BA
60,0.0025922753452197553,1.789938869230928e-05,0.0001564836997246771,0.0,0.0,1.1484927323245103e-05,8.189282049349168e-06,0.0001761422876282336,0.00010024395904672925,BA
65,0.0013518722565321302,7.359867378620056e-08,2.6984597311413226e-05,0.0,4.26886680175501e-06,0.000170748617407099,1.4917808733320319e-06,1.1927868578858392e-06,1.4902410807195633e-05,BA
140,0.00763421947693406,0.00020854598116646264,0.0006764765477386653,0.0,0.0015056726710873682,0.00020653326432853102,2.6893371490317632e-05,0.00035205111930857147,2.716942644534656e-05,BA
